tweetler,begeni_sayisi,yorum_sayisi,retweet_sayisi
"Facebook, zaman serisi verilerin analizi için kullanılan hafif, kullanımı kolay ve genelleştirilebilir Kats isimli yazılım çerçevesini (framework) açık kaynaklı hale getirdi. https://facebookresearch.github.io/Kats/",18,1,
"Python ile uctan uca veri bilimi egitiminde kullandigimiz materyalleri biraz daginik bir formatta da olsa asagidaki linkte paylasiyorum @zeministanbul ve @ismek_istanbul ile gerceklestirdigimiz etkinlige katilan herkese tesekkur ederim!
https://drive.google.com/drive/folders/183RXV_lfB5JNVUdNxqjipm0_o8QMlz2l?usp=sharing…",180,1,29
"Sevgili dostlar, yarın Yetkin Sohbetler’de değerli @ErhanErkut hocam ile buluşuyoruz! Görüşmek üzere :) @YetkinGencler",170,13,21
Derin öğrenme yöntemlerinin yoğun olarak uygulandığı alanlardan birisi de uzaktan algılama. @deeplearningtr çekirdek ekibimizden @iremkomurcu tarafından yapılan çalışmaları GitHub üzerinde inceleyebilir ve çalışmaları beğendiyseniz bir  verebilirsiniz.,46,,9
"yazılımcı Temel, Dursun'a değişiklikleri getirmesi için ne demiştir? git pull :((",1 B,28,57
CANLI YAYIN: Yeni Başlayanlar için Yapay Zekâ etkinliği 27 Mart Cumartesi günü saat 16.00’da sosyal medya hesaplarımızda!,61,,8
"Bu cumartesi Grokking Deep Reinforcement Learning kitabının yazarı Miguel Morales ile yapay zeka ve otonom sistemlerin dünü- bugünü ve yarını üzerine dert yanacağız.

@deeplearningtr @Turkiye_RL",10,,4
"AI Night's serisi geliyor  21 Mart Pazar 20.30'da, GDG Istanbul ve Google Developer Communities Turkey YouTube kanallarında, eş zamanlı yayın ile karşınızdayız.
Sorularınızı sorabileceğiniz sohbet havasında geçecek bu etkinliğe katılmayı unutmayın ",24,,5
"Uluslararası pek çok başarıya imza atan Refik Anadol’un “Makine Hatıraları: Uzay” sergisi, 19 Mart’ta kapılarını açıyor. Sergi detayları için https://kultur.istanbul/refik-anadol-sergi/…
 19 Mart - 25 Nisan 2021 
 10.00-18.00 
PİLEVNELİ Dolapdere 
 Ücretsiz 
@istanbulbld
@refikanadol",330,7,76
Koç Üniversitesi'nde bu dönem Deep Unsupervised Learning üzerine yeni bir ders açtım. İlk 2 haftaki temel konuların ardından bu hafta derin üretici ağlara autoregressive modeller ile giriş yapıyoruz. Ders materyallerine aşağıdaki linkten ulaşabilirsiniz: https://aykuterdem.github.io/classes/comp547/…,725,6,89
"3000'den fazla veri setinin indekslendiği bir havuz!

İçerisinde makine öğrenmesi projeleriniz için kullanabileceğiniz, karşılaştırmalar yapabileceğiniz birçok resim, metin, ses veri seti ve daha fazlası bulunmaktadır.",246,1,41
"Excited to announce that our work on multi-contrast MRI synthesis got accepted for publication in Medical Image Analysis. This study was a collaborative effort between @HUCVL, @iconlabBilkent and @KuisAICenter.
 https://sciencedirect.com/science/article/abs/pii/S136184152030308X… (DM me if you can't access the pre-proof)",93,3,6
"Uluslararası pek çok başarıya imza atan Refik Anadol’un “Makine Hatıraları: Uzay” sergisi, 19 Mart’ta kapılarını açıyor. Sergi detayları için https://kultur.istanbul/refik-anadol-sergi/…
 19 Mart - 25 Nisan 2021 
 10.00-18.00 
PİLEVNELİ Dolapdere 
 Ücretsiz 
@istanbulbld
@refikanadol",330,7,76
Koç Üniversitesi'nde bu dönem Deep Unsupervised Learning üzerine yeni bir ders açtım. İlk 2 haftaki temel konuların ardından bu hafta derin üretici ağlara autoregressive modeller ile giriş yapıyoruz. Ders materyallerine aşağıdaki linkten ulaşabilirsiniz: https://aykuterdem.github.io/classes/comp547/…,725,6,89
"3000'den fazla veri setinin indekslendiği bir havuz!

İçerisinde makine öğrenmesi projeleriniz için kullanabileceğiniz, karşılaştırmalar yapabileceğiniz birçok resim, metin, ses veri seti ve daha fazlası bulunmaktadır.",246,1,41
"Excited to announce that our work on multi-contrast MRI synthesis got accepted for publication in Medical Image Analysis. This study was a collaborative effort between @HUCVL, @iconlabBilkent and @KuisAICenter.
 https://sciencedirect.com/science/article/abs/pii/S136184152030308X… (DM me if you can't access the pre-proof)",93,3,6
"Gevşek vida da bir şey mi? Bir de Arianne 5 faciasının nedenini duysalar: double precision floating point tutulması gereken pozisyon bilgisini 16 bit integer değişkene atamışlar, ondan düşmüş.",129,4,18
,141,22,4
Installing a new permanent public art project for the newest State of California @AirResources Building! We used 75 years long air quality datasets to generate data paintings!!! Excited to share more soon!,76,,5
my coding setup is a reaction to tidier and more minimal ones ,198,6,3
